airline_id,name,alias,iata,icao,callsign,country_id,active
5192,Transarabian Transportation Services,N,,UTT,ARABIAN TRANSPORT,284,N
5193,Transaven,N,,VEN,TRANSAVEN AIRLINE,293,N
5194,Tag Aviation UK,N,,VIP,SOVEREIGN,287,N
5195,Tbilaviamsheni,N,,VNZ,TBILAVIA,132,N
5196,Taxi de Veracruz,N,,VRC,VERACRUZ,188,N
5197,Travel Express Aviation Services,N,,XAR,TRAVEL EXPRESS,151,N
5198,Taxi Aero Del Norte,N,,XNR,TAXI NORTE,188,N
5199,Transports et Travaux A,N,OF,,,1,N
5202,USAF Air Mobility Operations Control Center,N,,DOD,,288,N
5203,U.S. Department of the Interior,N,,DOI,INTERIOR,288,N
5204,United Kingdom Civil Aviation Authority,N,,EXM,EXAM,287,N
5205,Union des Transports Africains de Guinee,N,,GIH,TRANSPORT AFRICAIN,141,N
5206,US Army Parachute Team,N,,GKA,GOLDEN KNIGHTS,288,N
5207,USA3000 Airlines,N,U5,GWY,GETAWAY,288,Y
5208,United Arabian Airlines,N,,UAB,UNITED ARABIAN,263,N
5209,United Airlines,N,UA,UAL,UNITED,288,Y
5210,United Air Charters,N,,UAC,UNITAIR,300,Y
5211,United Carriers Systems,N,,UCS,UNITED CARRIERS,288,N
5212,United Eagle Airlines,N,,UEA,UNITED EAGLE,95,N
5213,United Feeder Service,N,U2,,,288,N
5214,United Kingdom Civil Aviation Authority,N,,CFU,MINAIR,287,N
5215,United Kingdom Royal VIP Flights,N,,KRF,KITTYHAWK,287,N
5216,United Kingdom Royal VIP Flight,N,,KRH,SPARROWHAWK,287,N
5217,United Kingdom Civil Aviation Authority,N,,SDS,STANDARDS,287,N
5218,United Kingdom Royal VIP Flights,N,,TQF,RAINBOW,287,N
5219,United States Coast Guard Auxiliary,N,,CGX,COASTGUARD AUXAIR,288,N
5220,United States Department Of Agriculture,N,,AGR,AGRICULTURE,288,N
5221,University Air Squadron,N,,UAD,,287,N
5222,University Air Squadron,N,,UAJ,,287,N
5223,University Air Squadron,N,,UAA,,287,N
5224,University Air Squadron,N,,UAH,,287,N
5225,Universal Avia,N,,HBU,KHARKIV UNIVERSAL,285,N
5226,UK HEMS,N,,HLE,HELIMED,287,N
5227,USA Jet Airlines,N,U7,JUS,JET USA,288,N
5228,Unijet,N,,LEA,LEADAIR,127,N
5229,US Marshals Service,N,,MSH,MARSHALAIR,288,N
5230,University of North Dakota,N,,NDU,SIOUX,288,N
5231,Universal Airlines,N,,PNA,PACIFIC NORTHERN,288,N
5232,Uganda Royal Airways,N,,RAU,UGANDA ROYAL,284,N
5233,United Aviation Services,N,,SAU,UNISERVE,261,N
5234,Ural Airlines,N,U6,SVR,SVERDLOVSK AIR,234,Y
5235,Ukraine Transavia,N,,TRB,KIROVTRANS,285,N
5236,United Arab Emirates Air Force,N,,UAF,UNIFORCE,286,N
5237,Union Africaine des Transports,N,,UAI,UNAIR,157,N
5238,Uganda Air Cargo,N,,UCC,UGANDA CARGO,284,N
5239,US Airports Air Charter,N,,UCH,US CHARTER,288,N
5240,Ucoaviacion,N,,UCO,UCOAVIACION,261,N
5241,Ues-Avia Aircompany,N,,UES,AVIASYSTEM,285,N
5242,UFS,N,,UFS,FEEDER EXPRESS,288,N
5243,Uganda Airlines,N,,UGA,UGANDA,284,N
5244,Urgemer Canarias,N,,UGC,URGEMER,261,N
5245,Ukrainian Helicopters,N,,UHL,UKRAINE COPTERS,285,N
5246,Ulyanovsk Higher Civil Aviation School,N,,UHS,PILOT AIR,234,N
5247,Universal Jet Rental de Mexico,N,,UJR,UNIVERSAL JET,188,N
5248,Universal Jet Aviation,N,,UJT,UNI-JET,288,N
5249,UK International Airlines,N,,UKI,KHALIQ,287,N
5250,Ukraine Air Alliance,N,,UKL,UKRAINE ALLIANCE,285,N
5251,UM Airlines,N,UF,UKM,UKRAINE MEDITERRANEE,285,Y
5252,Ukraine Air Enterprise,N,,UKN,ENTERPRISE UKRAINE,285,N
5253,United Kingdom Home Office,N,,UKP,POLICE,287,N
5254,Ukrainian Cargo Airways,N,6Z,UKS,CARGOTRANS,285,N
5255,Ultrair,N,,ULT,ULTRAIR,288,N
5256,Unitemp-M,N,,UMS,TOPAZ,234,N
5257,Uni-Fly,N,,UNC,UNICOPTER,112,N
5258,Union Flights,N,,UNF,UNION FLIGHTS,288,N
5259,Universal Jet,N,,UNJ,PROJET,261,N
5260,Unsped Paket Servisi,N,,UNS,UNSPED,279,N
5261,Unifly Servizi Aerei,N,,UNU,UNIEURO,156,N
5262,Ukrainian Pilot School,N,,UPL,PILOT SCHOOL,285,N
5263,United Parcel Service,N,5X,UPS,UPS,288,N
5264,Uraiavia,N,,URV,URAI,234,N
5265,US Airways,N,US,USA,U S AIR,288,Y
5266,US Check Airlines,N,,USC,STAR CHECK,288,N
5267,USAfrica Airways,N,,USF,AFRICA EXPRESS,288,N
5268,US Helicopter,N,,USH,US-HELI,288,Y
5269,US Jet,N,,USJ,USJET,288,N
5270,US Express,N,,USX,AIR EXPRESS,288,N
5271,UTair Aviation,N,UT,UTA,UTAIR,234,Y
5272,UTAGE,N,,UTG,UTAGE,119,N
5273,Utair South Africa,N,,UTR,AIRUT,258,N
5274,Ukrainian State Air Traffic Service Enterprise,N,,UTS,AIRRUH,285,N
5275,Urartu-Air,N,,UTU,,60,N
5276,Universal Airways,N,,UVA,UNIVERSAL,288,N
5277,Universal Airlines,N,,UVG,GUYANA JET,143,N
5278,Uvavemex,N,,UVM,UVAVEMEX,188,N
5279,United States Air Force,N,,AIO,AIR CHIEF,288,Y
5280,United Aviation,N,,UVN,UNITED AVIATION,164,N
5281,Uzbekistan Airways,N,HY,UZB,UZBEK,290,Y
5282,Ukraine International Airlines,N,PS,AUI,UKRAINE INTERNATIONAL,285,Y
5283,Universal Airlines,N,,WEC,AIRGO,288,N
5284,US Helicopter Corporation,N,UH,,,288,Y
5288,V Australia Airlines,N,VA,VAU,KANGA,62,N
5289,V Bird Airlines Netherlands,N,,VBA,VEEBEE,203,N
5290,V-avia Airline,N,,WIW,VEE-AVIA,285,N
5291,V-Berd-Avia,N,,VBD,VEEBIRD-AVIA,60,N
5292,Vacationair,N,,VAC,VACATIONAIR,88,N
5293,Valair AG (Helicoptere),N,,RDW,ROADWATCH,268,N
5294,Valan International Cargo Charter,N,,VLA,NALAU,258,N
5295,Valan Limited,N,,VLN,VALAN,190,N
5296,Valfell-Verkflug,N,,EHR,ROTOR,149,N
5297,Valuair,N,VF,VLU,VALUAIR,252,Y
5298,Van Air Europe,N,,VAA,EUROVAN,107,N
5299,Vanguardia en Aviacion en Colima,N,,VGC,VANGUARDIA COLIMA,188,N
5300,Vanguard Airlines,N,,VGD,VANGUARD AIR,288,N
5301,Vasco Air,N,,VFC,VASCO AIR,294,Y
5302,Vega,N,,VAG,SEGA,161,N
5303,Vega Air Company,N,,WGA,WEGA FRANKO,285,N
5304,Veles,N,,WEL, Ukrainian Aviation Company,291,N
5305,Verataxis,N,,VTX,VERATAXIS,188,N
5306,Veritair Ltd,N,,BTP,NET RAIL,287,N
5307,Voyageur Airways,N,VC,VAL,VOYAGEUR,88,N
5308,Vernicos Aviation,N,,GRV,NIGHT RIDER,136,N
5309,Vietnam Airlines,N,VN,HVN,VIET NAM AIRLINES,294,Y
5310,Vozdushnaya Academy,N,,KWA,VOZAIR,161,N
5311,VIM Airlines,N,NN,MOV,MOV AIR,234,Y
5312,VIM-Aviaservice,N,,MVY,,234,N
5313,VIA Rail Canada,N,2R,,,88,N
5314,Victoria Aviation,N,,ENV,ENDEAVOUR,287,N
5315,Viscount Air Service,N,,VCT,VISCOUNT AIR,288,N
5317,Vision Airlines,N,,SSI,SUPER JET,209,N
5318,VIP Air Charter,N,,FXF,FOX FLIGHT,288,N
5319,VIP Avia,N,,PAV,NICOL,161,N
5320,VIP Avia,N,,PRX,PAREX,169,N
5321,Visionair,N,,VAT,VISIONAIR,154,N
5322,Viasa,N,VA,,,293,N
5323,VICA - Viacao Charter Aereos,N,,VCA,VICA,78,N
5324,Volare Air Charter Company,N,,VCM,CARMEN,288,N
5325,Volaris,N,Y4,VOI,VOLARIS,188,Y
5326,Volga-Dnepr Airlines,N,VI,VDA,VOLGA-DNEPR,234,Y
5327,Vega Airlines,N,,VEA,VEGA AIRLINES,81,N
5328,Venescar Internacional,N,,VEC,VECAR,293,N
5329,Victor Echo,N,,VEE,VICTOR ECHO,261,N
5330,Virgin Express Ireland,N,,VEI,GREEN ISLE,154,N
5331,Virgin America,N,VX,VRD,REDWOOD,288,Y
5332,Vieques Air Link,N,,VES,VIEQUES,288,N
5333,Virgin Express,N,TV,VEX,VIRGIN EXPRESS,70,Y
5334,VZ Flights,N,,VFT,ZETA FLIGHTS,188,N
5335,Virgin Nigeria Airways,N,VK,VGN,VIRGIN NIGERIA,209,Y
5336,Vologda State Air Enterprise,N,,VGV,VOLOGDA AIR,234,N
5337,VH-Air Industrie,N,,VHA,AIR V-H,56,N
5338,VHM Schul-und-Charterflug,N,,VHM,EARLY BIRD,133,N
5339,Vibroair Flugservice,N,,VIB,VITUS,133,N
5340,VIP Servicios Aereos Ejecutivos,N,,VIC,VIP-EJECUTIVO,188,N
5341,VIP Empresarial,N,,VIE,VIP EMPRESARIAL,188,N
5342,VIF Luftahrt,N,,VIF,VIENNA FLIGHT,63,N
5343,Vega Aviation,N,,VIG,VEGA AVIATION,263,N
5344,Vichi,N,,VIH,VICHI,190,N
5345,Viking Airlines,N,,VIK,SWEDJET,267,N
5346,Vinair - Helicoptereos,N,,VIN,VINAIR,226,N
5347,Virgin Atlantic Airways,N,VS,VIR,VIRGIN,287,Y
5348,Viajes Ejecutivos Mexicanos,N,,VJM,VIAJES MEXICANOS,188,N
5349,Vistajet,N,,VJT,VISTA,88,N
5350,Viva Macau,N,ZG,VVM,JACKPOT,176,Y
5351,Volare Airlines,N,VE,VLE,VOLA,156,Y
5352,Vueling Airlines,N,VY,VLG,VUELING,261,Y
5353,Vladivostok Air,N,XF,VLK,VLADAIR,234,Y
5354,Varig Log,N,LC,VLO,VELOG,78,Y
5355,Vertical-T Air Company,N,,VLT,VERTICAL,234,N
5356,Vero Monmouth Airlines,N,,VMA,VERO MONMOUTH,288,N
5357,Vipport Joint Stock Company,N,,VNK,,234,N
5358,Viaggio Air,N,VM,VOA,VIAGGIO,81,N
5359,Voyager Airlines,N,,VOG,VOYAGER AIR,67,N
5360,Virgin Australia,N,VA,VOZ,VIRGIN,62,Y
5361,Virgin Blue,N,DJ,VBI,BLUEY,62,N
5362,VIP Air,N,,VPA,VIP TAXI,253,N
