airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
7418,Mekane Selam Airport,Mekane Selam,122,MKS,HAMA,10.7254,38.7415,8405,3.0,U,Africa/Addis_Ababa,airport,OurAirports
11288,Dewadaru - Kemujan Island,Karimunjawa,151,KWB,WARU,-5.80091,110.47838,35,7.0,U,N,airport,OurAirports
7111,Nulato Airport,Nulato,288,NUL,PANU,64.729301,-158.074005,399,-9.0,A,America/Anchorage,airport,OurAirports
7496,Cecil Airport,Jacksonville,288,VQQ,KVQQ,30.2187004089,-81.876701355,81,-5.0,A,America/New_York,airport,OurAirports
439,Kuopio Airport,Kuopio,126,KUO,EFKU,63.007099151611,27.797800064087,323,2.0,E,Europe/Helsinki,airport,OurAirports
2850,Del Caribe Santiago Mariño International Airport,Porlamar,293,PMV,SVMG,10.912603378295898,-63.96659851074219,74,-4.0,U,America/Caracas,airport,OurAirports
11199,Juruena Airport,Juruena,78,JRN,SWJU,-10.305832862854004,-58.489444732666016,525,-4.0,S,N,airport,OurAirports
3258,Kaimana Airport,Kaimana,151,KNG,WASK,-3.6445200443267822,133.6959991455078,19,9.0,N,Asia/Jayapura,airport,OurAirports
3748,Norman Y. Mineta San Jose International Airport,San Jose,288,SJC,KSJC,37.362598,-121.929001,62,-8.0,A,America/Los_Angeles,airport,OurAirports
1025,Kikwit Airport,Kikwit,100,KKW,FZCA,-5.035769939422607,18.785600662231445,1572,1.0,N,Africa/Kinshasa,airport,OurAirports
5436,Vanimo Airport,Vanimo,221,VAI,AYVN,-2.6926,141.3028,10,10.0,U,Pacific/Port_Moresby,airport,OurAirports
6964,Jinggangshan Airport,Jian,95,JGS,ZSJA,26.8568992615,114.736999512,281,8.0,U,Asia/Shanghai,airport,OurAirports
1702,Balıkesir Merkez Airport,Balikesir,279,BZI,LTBF,39.61930084228516,27.926000595092773,340,3.0,E,Europe/Istanbul,airport,OurAirports
6774,Brus Laguna Airport,Brus Laguna,145,BHG,MHBL,15.7631,-84.543602,19,-6.0,U,America/Tegucigalpa,airport,OurAirports
7398,Coari Airport,Coari,78,CIZ,SWKO,-4.134059906005859,-63.132598876953125,131,-4.0,S,America/Boa_Vista,airport,OurAirports
5582,"Mo i Rana Airport, Røssvoll",Mo i Rana,214,MQN,ENRA,66.363899230957,14.301400184631,229,1.0,E,Europe/Oslo,airport,OurAirports
3669,Tyndall Air Force Base,Panama City,288,PAM,KPAM,30.0695991516,-85.57540130619999,17,-6.0,A,America/Chicago,airport,OurAirports
12957,Nyrripi Airport,Nyirripi,62,N,YNRR,-22.645299911499023,130.56500244140625,0,9.5,N,N,airport,OurAirports
13544,Ayawasi Airport,Ayawasi,151,AYW,WASA,-1.1593,132.4633,1560,9.0,N,N,airport,OurAirports
491,Liverpool John Lennon Airport,Liverpool,287,LPL,EGGP,53.33359909057617,-2.849720001220703,80,0.0,E,Europe/London,airport,OurAirports
1019,Mejametalana Airbase,Maseru,171,N,FXMU,-29.304100036621094,27.50349998474121,5105,2.0,U,Africa/Maseru,airport,OurAirports
201,Whitecourt Airport,Whitecourt,88,YZU,CYZU,54.14390182495117,-115.78700256347656,2567,-7.0,A,America/Edmonton,airport,OurAirports
3853,Condron Army Air Field,White Sands,288,WSD,KWSD,32.34149933,-106.4029999,3934,-7.0,A,America/Denver,airport,OurAirports
1176,Arusha Airport,Arusha,273,ARK,HTAR,-3.3677899837493896,36.63330078125,4550,3.0,U,Africa/Dar_es_Salaam,airport,OurAirports
2707,Las Flores Airport,El Banco,97,ELB,SKBC,9.04554,-73.9749,111,-5.0,U,America/Bogota,airport,OurAirports
9071,Alameda Naval Air Station,Alameda,288,NGZ,KNGZ,37.78889846801758,-122.31999969482422,10,-8.0,U,America/Los_Angeles,airport,OurAirports
1429,Saint-Dizier-Robinson (BA 113) Air Base,St.-dizier,127,N,LFSI,48.63600158691406,4.899419784545898,458,1.0,E,Europe/Paris,airport,OurAirports
11896,Coronel Enrique Soto Cano Air Base,Comayagua,145,XPL,MHSC,14.3824,-87.621201,2061,,N,N,airport,OurAirports
3592,Tonopah Test Range Airport,Tonopah,288,XSD,KTNX,37.7988014221,-116.78099823,5549,-8.0,A,America/Los_Angeles,airport,OurAirports
